Gene,Log2FoldChange,PValue,FDR
RGN,0.9409518750000004,4.625426303211298e-05,0.0135725195703185
C19orf44,0.392566180555554,5.315277745791243e-05,0.0136424831061563
NR2E1,0.8458616666666661,5.343190229776403e-05,0.0136424831061563
ZNF331,0.4010713194444477,4.982765925249396e-05,0.0136424831061563
NFIA,0.5229607638888893,4.978751676627352e-05,0.0136424831061563
MTMR2,-0.3133707638888889,4.859473360717308e-05,0.0136424831061563
SEC61G,1.6634576388888878,4.958049156502993e-05,0.0136424831061563
ZNF345,0.3761640277777776,5.263185230062463e-05,0.0136424831061563
DBX2,1.1914027777777774,5.281484303073712e-05,0.0136424831061563
CCDC146,0.7435009027777779,5.112356429283964e-05,0.0136424831061563
ARSD,0.510811736111112,5.191232679866047e-05,0.0136424831061563
SLC19A3,0.5914179166666678,5.95460794342692e-05,0.0137325027391842
ANKK1,1.0555466666666662,5.833676792980706e-05,0.0137325027391842
ANGPTL1,1.1995329166666666,6.0744290928851295e-05,0.0137325027391842
KLKB1,0.9835351388888882,5.6606884588111805e-05,0.0137325027391842
ARSF,1.3173476388888892,6.076946786922842e-05,0.0137325027391842
ALS2CR4,0.3217272916666669,5.691529220488328e-05,0.0137325027391842
VAX1,-1.068819305555555,5.913120739515316e-05,0.0137325027391842
PIPOX,0.8536057638888899,5.914660690785435e-05,0.0137325027391842
C18orf16,0.8847499999999968,5.793457739906467e-05,0.0137325027391842
STAM,-0.2473660416666678,5.604955129083272e-05,0.0137325027391842
C19orf51,1.0755871527777776,6.442762881832473e-05,0.0143937179837302
ZNF776,0.3875079861111121,6.622308660120642e-05,0.014628605422244
ACTR1A,-0.2446934027777771,7.219619756123041e-05,0.0155440317042982
LGI1,0.9240340972222212,7.27391107220466e-05,0.0155440317042982
NETO2,0.989011319444444,7.176203374684623e-05,0.0155440317042982
ZNF69,0.4979146527777809,7.35505021892412e-05,0.0155484179896826
C14orf181,0.6500082638888873,7.443307975278247e-05,0.015567599446167
CLEC18C,0.9820640277777786,7.727693257710263e-05,0.0159539369694063
BBOX1,0.7032409027777788,7.790325274989896e-05,0.0159539369694063
TP53AIP1,0.8118354166666673,8.174554992291567e-05,0.0163514653979252
CHST3,-0.5336768749999994,8.281756225843824e-05,0.0163514653979252
RAB34,0.6771641666666675,8.252885739038693e-05,0.0163514653979252
ZNF441,0.4075576388888891,8.317123803624247e-05,0.0163514653979252
C19orf36,0.8231740277777782,8.512279079023202e-05,0.0164070006562349
SCD,-0.5406076388888881,8.442659831622142e-05,0.0164070006562349
C5orf33,0.4488651388888875,8.834101934985753e-05,0.0166998503886365
ZNF333,0.3456372222222228,8.812858575824058e-05,0.0166998503886365
MEOX2,1.301280138888889,9.22870629805398e-05,0.0167441076514653
BRD8,0.2461120138888901,8.98789149694242e-05,0.0167441076514653
