Gene,Log2FoldChange,PValue
LPPR4,0.6312594444444457,0.0005871223957146079
CPEB2,0.35453208333333563,0.0005909586043786679
SEMA6B,-0.6670097222222235,0.0005991712721268338
GRPEL1,-0.17216062500000007,0.0006102745500091079
C6orf118,0.845146319444444,0.0006161599034706235
ID4,0.5567690277777775,0.0006205144053792222
SLC27A5,0.4717445833333347,0.0006205316142398857
HEPACAM,0.6266477083333317,0.0006338071871417082
HPR,1.2347604861111101,0.0006353281165436784
EPS8L2,0.7667327777777775,0.0006369480637967411
EPHA5,0.8356801388888888,0.0006409400032925062
TMEM220,0.5624729166666675,0.0006494525672991498
KIAA1737,0.28134076388889007,0.0006501119724404355
TSNAXIP1,0.6327822222222208,0.0006585290783227303
U2AF1L4,0.4054997222222223,0.0006620470734881725
OTOS,1.4515147222222216,0.0006662425248028256
SUSD5,-1.069816736111112,0.0006745510433302852
C19orf66,0.3769077083333343,0.0006794475057596898
TMPRSS11F,-0.25912604166666664,0.0006810973675206014
APOM,0.4801198611111106,0.0006932503261028942
ASTL,-0.3010772222222223,0.0006944481313309682
XAF1,0.8157677083333326,0.0007001399762804524
ZNF419,0.3572372916666673,0.0007050509222824989
TNS3,-0.4661442361111128,0.0007124721103115492
LOC646851,0.593464513888887,0.0007149847784551645
SBF1P1,-0.40403437500000006,0.0007169980078955999
LOC100101938,-0.1600859722222222,0.0007207615075153554
CMYA5,0.7730572916666674,0.0007287543087125023
SOHLH2,0.9614345138888885,0.00073251859740328
PTGER3,-0.8801774999999998,0.0007354932563347334
SPRY2,0.4571734027777765,0.0007356254247515205
REPS2,-0.8234041666666689,0.0007387700175850477
NMNAT3,0.597961458333331,0.0007420133806897636
GANC,0.24283999999999928,0.0007500256913073177
B3GALTL,0.4833177083333329,0.0007587278745963472
VAV3,0.7132555555555564,0.0007601224172682037
WAC,-0.17946993055555538,0.0007686198937930002
SOAT2,-0.36796124999999996,0.0007716773289976815
ZNF563,0.2526600694444454,0.000773210651421493
MED29,0.2520293750000011,0.0007781087674287391
CSRP2,0.547083055555559,0.0007815563830941903
HSPB6,0.5941490277777763,0.0007831222174629485
GAB4,-0.13275548611111113,0.000783125499815579
ZFP112,0.3007268055555521,0.0007951434795156125
C5orf35,0.45009847222222366,0.0007977354393110543
FBXW9,0.29511868055555546,0.000799865742392218
PPP1R1C,0.9366607638888897,0.0008027704898612973
PDE7B,0.524335416666668,0.0008051217400255519
PDZD7,-0.700860416666667,0.0008060844728421782
BCMO1,0.8136096527777772,0.0008249473098374913
PKIB,0.780545138888888,0.0008359836213892179
STK33,0.5398710416666663,0.0008374677425255053
SLC10A7,0.25201027777777796,0.0008421380052831641
C10orf26,-0.21153694444444504,0.0008472517322037984
FLJ26850,0.7097772916666671,0.0008483746509745355
C10orf12,-0.43851604166666647,0.0008523032950574368
ZNF155,0.26068701388888815,0.0008526663083734516
LCE1E,-0.3292103472222222,0.00085598260460248
ZFP30,0.36388506944444465,0.0008571317847464007
CASC4,0.3161923611111117,0.0008590769808518282
ALX1,-0.6694572222222224,0.0008601736348528653
CCNL2,0.46854000000000084,0.0008638684574666679
PLEKHG1,0.4806909722222237,0.0008654376917993736
MLC1,0.6288098611111081,0.0008657738891170075
FLJ13197,0.5169865972222238,0.0008659884245090573
RNF144A,-0.5076988888888891,0.0008779164752116537
DEFB124,-0.21713375000000001,0.0008935947799531213
MLH3,0.2836611111111118,0.0008955253261483558
ZNF350,0.24066513888888874,0.000902444807396696
RAD52,0.31592708333333075,0.0009038057604988416
ZNF804A,-0.8891775694444446,0.0009044567803149646
KIAA0141,0.17554250000000238,0.0009068025726704342
VTCN1,-0.7211395833333334,0.000909604607356769
LIX1,0.7660736111111088,0.0009214845645873047
NANS,-0.2703701388888913,0.000923140354824197
C13orf18,0.5430352777777792,0.0009265371050157398
NCRNA00204B,0.5130330555555553,0.0009306425515904908
ZNF227,0.2775422916666681,0.0009317076400166118
GRIK1,0.9512600000000022,0.0009317390875951335
